Switch Name,Model,Serial Number,Internal IPv4 Address,Subnet Mask,Default Gateway,Switch Stack Position,Role
0,0,0,0,0,0,0,0
cs01.MDF.f1.clubhouse.UniversityVillage.tx,C6816-X-LE,0,10.125.32.1,255.255.254.0,0,0,CORE
cs01.MDF.f1.clubhouse.UniversityVillage.tx,0,0,0,0,0,0,0
cs01.MDF.f1.clubhouse.UniversityVillage.tx,0,0,0,0,0,0,0
cs01.MDF.f1.clubhouse.UniversityVillage.tx,0,0,0,0,0,0,0
ds01.MDF.f1.clubhouse.UniversityVillage.tx,C3850-24-XS,FOC2217U0QL,10.125.32.10,255.255.254.0,10.125.32.1,0,DIST
0,0,0,0,0,0,0,0
as01.MDF.f1.clubhouse.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3AW,10.125.32.12,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.IDF.f1.clubhouse.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W1YR,10.125.32.15,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg20.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3FB,10.125.32.17,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5DZ,0,255.255.254.0,10.125.32.1,2,PD
as01.MDF.f1.bldg19A.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3S6,10.125.32.20,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T50W,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg19B.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2RG,10.125.32.23,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5B7,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg18A.UniversityVillage.tx,C2960X-48FPD-L,FCW2208A1GV,10.125.32.26,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T517,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg18B.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3QQ,10.125.32.29,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5C4,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg16.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2QW,10.125.32.32,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5BY,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg17B.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3RK,10.125.32.35,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg17A.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W24T,10.125.32.37,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg1.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3F4,10.125.32.40,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5C0,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg2.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2RH,10.125.32.43,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T519,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg3.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3CL,10.125.32.46,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T51B,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg4.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3FM,10.125.32.49,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5BX,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg15.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2RM,10.125.32.52,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T51L,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg5A.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W2VX,10.125.32.55,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg5B.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W2C1,10.125.32.57,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg10A.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2PU,10.125.32.62,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FCW2221B5C8,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg10B.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W2VQ,10.125.32.59,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T51H,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
